warehouse_id,customer_id,quantity,cost_per_unit,total_cost,scenario
W1,C1,50.0,2.5,125.0,baseline
W1,C3,150.0,2.0,300.0,baseline
W2,C1,70.0,4.0,280.0,baseline
W2,C2,80.0,2.5,200.0,baseline
W1,C1,20.0,2.5,50.0,demand_increase_20pct
W1,C3,180.0,2.0,360.0,demand_increase_20pct
W2,C1,124.0,4.0,496.0,demand_increase_20pct
W2,C2,96.0,2.5,240.0,demand_increase_20pct
W1,C3,140.0,2.0,280.0,capacity_reduction_30pct
W2,C1,120.0,4.0,480.0,capacity_reduction_30pct
W2,C2,80.0,2.5,200.0,capacity_reduction_30pct
W2,C3,10.0,3.5,35.0,capacity_reduction_30pct
W1,C1,50.0,3.125,156.25,cost_increase_25pct
W1,C3,150.0,2.5,375.0,cost_increase_25pct
W2,C1,70.0,5.0,350.0,cost_increase_25pct
W2,C2,80.0,3.125,250.0,cost_increase_25pct
